AIRPORT_TYPE,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,SERVICE_CLASS,REV_ACRFT_DEP_PERF_510,REV_ENP_FREIGHT_217,REV_ENP_MAIL_219
D,13931,ORF,"Norfolk, VA",K,179.00,1.00,0.00
D,13851,OKC,"Oklahoma City, OK",K,16.00,0.00,0.00
D,13871,OMA,"Omaha, NE",K,335.00,5.00,30.00
D,13891,ONT,"Ontario, CA",K,219.00,0.00,0.00
D,13204,MCO,"Orlando, FL",K,3363.00,34.00,205.00
D,14100,PHL,"Philadelphia, PA",K,625.00,11.00,240.00
D,14107,PHX,"Phoenix, AZ",K,2228.00,50.00,323.00
D,14122,PIT,"Pittsburgh, PA",K,319.00,2.00,61.00
D,14057,PDX,"Portland, OR",K,1241.00,77.00,113.00
D,14307,PVD,"Providence, RI",K,2.00,0.00,0.00
D,14492,RDU,"Raleigh/Durham, NC",K,739.00,0.00,0.00
D,14570,RNO,"Reno, NV",K,315.00,1.00,0.00
D,14524,RIC,"Richmond, VA",K,219.00,0.00,0.00
D,14576,ROC,"Rochester, NY",K,108.00,0.00,0.00
D,14512,RFD,"Rockford, IL",K,4.00,0.00,0.00
D,14893,SMF,"Sacramento, CA",K,691.00,5.00,215.00
D,15016,STL,"St. Louis, MO",K,215.00,3.00,73.00
D,14489,RDM,"Bend/Redmond, OR",K,90.00,0.00,0.00
D,14869,SLC,"Salt Lake City, UT",K,678.00,9.00,1.00
D,14683,SAT,"San Antonio, TX",K,1063.00,6.00,137.00
D,14679,SAN,"San Diego, CA",K,1925.00,46.00,108.00
D,14771,SFO,"San Francisco, CA",K,10576.00,20841.00,2438.00
D,14831,SJC,"San Jose, CA",K,327.00,0.00,0.00
D,14843,SJU,"San Juan, PR",K,708.00,487.00,13.00
D,14908,SNA,"Santa Ana, CA",K,1491.00,0.00,0.00
D,14747,SEA,"Seattle, WA",K,1477.00,199.00,172.00
D,11775,FSD,"Sioux Falls, SD",K,58.00,0.00,0.00
D,12094,HDN,"Hayden, CO",K,369.00,0.00,0.00
D,15096,SYR,"Syracuse, NY",K,183.00,1.00,0.00
D,15304,TPA,"Tampa, FL",K,2275.00,16.00,256.00
D,15376,TUS,"Tucson, AZ",K,219.00,1.00,0.00
D,15370,TUL,"Tulsa, OK",K,97.00,0.00,0.00
D,12264,IAD,"Washington, DC",K,7967.00,6639.00,832.00
D,11278,DCA,"Washington, DC",K,727.00,0.00,0.00
D,14027,PBI,"West Palm Beach/Palm Beach, FL",K,884.00,9.00,0.00
D,12278,ICT,"Wichita, KS",K,75.00,0.00,0.00
D,10299,ANC,"Anchorage, AK",K,99.00,6.00,1.00
D,10423,AUS,"Austin, TX",K,1851.00,20.00,32.00
D,13158,MAF,"Midland/Odessa, TX",K,82.00,0.00,0.00
D,14986,SRQ,"Sarasota/Bradenton, FL",K,393.00,0.00,0.00
D,14685,SAV,"Savannah, GA",K,3.00,0.00,0.00
D,11884,GEG,"Spokane, WA",K,199.00,0.00,0.00
D,10581,BGR,"Bangor, ME",K,9.00,0.00,0.00
D,10713,BOI,"Boise, ID",K,176.00,1.00,0.00
D,13029,LNK,"Lincoln, NE",K,1.00,0.00,0.00
D,11003,CID,"Cedar Rapids/Iowa City, IA",K,82.00,0.00,0.00
D,14457,RAP,"Rapid City, SD",K,23.00,0.00,0.00
D,14321,PWM,"Portland, ME",K,37.00,0.00,0.00
D,10135,ABE,"Allentown/Bethlehem/Easton, PA",K,1.00,0.00,0.00
D,10785,BTV,"Burlington, VT",K,148.00,0.00,0.00
D,11603,EUG,"Eugene, OR",K,136.00,0.00,0.00
D,11921,GJT,"Grand Junction, CO",K,2.00,0.00,0.00
D,12758,KOA,"Kona, HI",K,520.00,214.00,0.00
D,12982,LIH,"Lihue, HI",K,341.00,0.00,0.00
D,13296,MHT,"Manchester, NH",K,1.00,0.00,0.00
D,13264,MFR,"Medford, OR",K,115.00,0.00,0.00
D,13502,MTJ,"Montrose/Delta, CO",K,310.00,0.00,0.00
D,14689,SBA,"Santa Barbara, CA",K,230.00,0.00,0.00
D,14193,PNS,"Pensacola, FL",K,138.00,0.00,0.00
D,10849,BZN,"Bozeman, MT",K,436.00,0.00,0.00
D,11648,FCA,"Kalispell, MT",K,180.00,4.00,0.00
D,13486,MSO,"Missoula, MT",K,179.00,0.00,0.00
D,12280,IDA,"Idaho Falls, ID",K,2.00,0.00,0.00
D,12016,GUM,"Guam, TT",K,419.00,1665.00,240.00
D,14955,SPN,"Saipan, TT",K,90.00,10.00,0.00
D,10397,ATL,"Atlanta, GA",V,1.00,3.00,0.00
D,15374,TUP,"Tupelo, MS",V,1.00,1.00,0.00
D,10792,BUF,"Buffalo, NY",V,1.00,3.00,0.00
D,11027,CKB,"Clarksburg/Fairmont, WV",V,4.00,4.00,0.00
D,13930,ORD,"Chicago, IL",V,84.00,1244.00,4.00
D,11193,CVG,"Cincinnati, OH",V,1.00,9.00,0.00
D,10683,BMG,"Bloomington, IN",V,1.00,1.00,0.00
D,10868,CAE,"Columbia, SC",V,1.00,4.00,0.00
D,11066,CMH,"Columbus, OH",V,1.00,1.00,0.00
D,11298,DFW,"Dallas/Fort Worth, TX",V,1.00,13.00,0.00
D,11292,DEN,"Denver, CO",V,5.00,30.00,0.00
D,11423,DSM,"Des Moines, IA",V,6.00,6.00,0.00
D,11391,DQK,"Fort Drum, NY",V,1.00,12.00,0.00
D,13230,MDT,"Harrisburg, PA",V,1.00,3.00,0.00
D,12173,HNL,"Honolulu, HI",V,5.00,22.00,6.00
D,12266,IAH,"Houston, TX",V,7.00,15.00,0.00
D,11992,GSB,"Goldsboro, NC",V,1.00,3.00,0.00
D,12339,IND,"Indianapolis, IN",V,2.00,2.00,0.00
